season,mean_pm25,median_pm25,std_pm25,station,year
Post-monsoon,159.94716435185185,133.75,118.87620609893098,station_1428_okhla_phase_2_delhi_dpcc_1hr,2021
Pre-monsoon,64.29111641822381,53.0,46.52780040190723,station_1428_okhla_phase_2_delhi_dpcc_1hr,2021
Winter,205.16193593365205,180.125,119.14533560339224,station_1428_okhla_phase_2_delhi_dpcc_1hr,2021
Monsoon,34.87554515148544,30.5,21.161051859089074,station_1428_okhla_phase_2_delhi_dpcc_1hr,2022
Post-monsoon,138.7008573388203,121.5,98.93419433552724,station_1428_okhla_phase_2_delhi_dpcc_1hr,2022
Pre-monsoon,80.87212855192145,70.0,43.96607951631787,station_1428_okhla_phase_2_delhi_dpcc_1hr,2022
Winter,151.28643799349746,143.25,84.0395685184744,station_1428_okhla_phase_2_delhi_dpcc_1hr,2022
Monsoon,34.14778091366189,30.25,18.93071004522799,station_1428_okhla_phase_2_delhi_dpcc_1hr,2023
Post-monsoon,179.83815370196814,155.25,127.58561381904094,station_1428_okhla_phase_2_delhi_dpcc_1hr,2023
Pre-monsoon,64.21970317974484,50.5,45.423699381896384,station_1428_okhla_phase_2_delhi_dpcc_1hr,2023
Winter,173.73680555555555,157.25,103.74393168476647,station_1428_okhla_phase_2_delhi_dpcc_1hr,2023
Monsoon,33.39541062801932,30.0,20.58770025107721,station_1428_okhla_phase_2_delhi_dpcc_1hr,2024
Post-monsoon,175.21124828532237,154.0,129.4976211294772,station_1428_okhla_phase_2_delhi_dpcc_1hr,2024
Pre-monsoon,66.19537624660018,55.75,40.18081931285156,station_1428_okhla_phase_2_delhi_dpcc_1hr,2024
Winter,178.62433734085187,159.75,110.3568924019937,station_1428_okhla_phase_2_delhi_dpcc_1hr,2024
Monsoon,94.45143054119268,73.75,69.81596521437557,station_1429_nehru_nagar_delhi_dpcc_1hr,2021
Post-monsoon,287.06875839677565,267.75,168.55499505709557,station_1429_nehru_nagar_delhi_dpcc_1hr,2021
Pre-monsoon,180.41743176457956,155.75,105.6703662661582,station_1429_nehru_nagar_delhi_dpcc_1hr,2021
Winter,333.03164122051834,294.0,171.3429523160324,station_1429_nehru_nagar_delhi_dpcc_1hr,2021
Monsoon,108.55541566195889,91.25,75.61341934313728,station_1429_nehru_nagar_delhi_dpcc_1hr,2022
Post-monsoon,256.01206967213113,244.125,143.59878960383406,station_1429_nehru_nagar_delhi_dpcc_1hr,2022
Pre-monsoon,243.96868024231162,226.25,106.99214031770875,station_1429_nehru_nagar_delhi_dpcc_1hr,2022
Winter,280.0915929599894,261.0,146.57972099992824,station_1429_nehru_nagar_delhi_dpcc_1hr,2022
